<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.security.Provider,java.lang.String)> _SINK_
<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.lang.String)> _SINK_
<javax.crypto.Cipher: Cipher(javax.crypto.CipherSpi,java.security.Provider.Service,java.util.Iterator,java.lang.String,java.util.List)> _SINK_
<javax.crypto.Cipher: java.lang.String[] tokenizeTransformation(java.lang.String)> _SINK_
<javax.crypto.Cipher: java.lang.String[] tokenizeTransformation(java.lang.String)> _SOURCE_
<javax.crypto.Transform: Transform(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> _SINK_
<javax.crypto.Transform: void setModePadding(javax.crypto.CipherSpi)> _SINK_
<javax.crypto.Transform: int supportsModePadding(java.security.Provider.Service)> _SINK_
<javax.crypto.Transform: int supportsModePadding(java.security.Provider.Service)> _SOURCE_
<javax.crypto.Transform: int supportsMode(java.security.Provider.Service)> _SINK_
<javax.crypto.Transform: int supportsMode(java.security.Provider.Service)> _SOURCE_
<javax.crypto.Transform: int supportsPadding(java.security.Provider.Service)> _SINK_
<javax.crypto.Transform: int supportsPadding(java.security.Provider.Service)> _SOURCE_
<javax.crypto.Transform: int supports(java.security.Provider.Service,java.lang.String,java.lang.String)> _SINK_
<javax.crypto.Transform: int supports(java.security.Provider.Service,java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.Transform: boolean matches(java.lang.String,java.lang.String)> _SINK_
<javax.crypto.Transform: boolean matches(java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.Cipher: java.util.List getTransforms(java.lang.String)> _SINK_
<javax.crypto.Cipher: java.util.List getTransforms(java.lang.String)> _SOURCE_
<javax.crypto.Cipher: javax.crypto.Cipher.Transform getTransform(java.security.Provider.Service,java.util.List)> _SINK_
<javax.crypto.Cipher: javax.crypto.Cipher.Transform getTransform(java.security.Provider.Service,java.util.List)> _SOURCE_
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)> _SINK_
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)> _SOURCE_
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)> _SINK_
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)> _SOURCE_
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.security.Provider)> _SINK_
<javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.security.Provider)> _SOURCE_
<javax.crypto.Cipher: void implInit(javax.crypto.CipherSpi,int,int,java.security.Key,java.security.spec.AlgorithmParameterSpec,java.security.AlgorithmParameters,java.security.SecureRandom)> _SINK_
<javax.crypto.Cipher: void chooseProvider(int,int,java.security.Key,java.security.spec.AlgorithmParameterSpec,java.security.AlgorithmParameters,java.security.SecureRandom)> _SINK_
<javax.crypto.Cipher: java.security.Provider getProvider()> _SOURCE_
<javax.crypto.Cipher: java.lang.String getAlgorithm()> _SOURCE_
<javax.crypto.Cipher: int getBlockSize()> _SOURCE_
<javax.crypto.Cipher: int getOutputSize(int)> _SINK_
<javax.crypto.Cipher: int getOutputSize(int)> _SOURCE_
<javax.crypto.Cipher: byte[] getIV()> _SOURCE_
<javax.crypto.Cipher: java.security.AlgorithmParameters getParameters()> _SOURCE_
<javax.crypto.Cipher: javax.crypto.ExemptionMechanism getExemptionMechanism()> _SOURCE_
<javax.crypto.Cipher: void checkCryptoPerm(javax.crypto.CipherSpi,java.security.Key)> _SINK_
<javax.crypto.Cipher: void checkCryptoPerm(javax.crypto.CipherSpi,java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.Cipher: void checkCryptoPerm(javax.crypto.CipherSpi,java.security.Key,java.security.AlgorithmParameters)> _SINK_
<javax.crypto.Cipher: boolean passCryptoPermCheck(javax.crypto.CipherSpi,java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.Cipher: boolean passCryptoPermCheck(javax.crypto.CipherSpi,java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SOURCE_
<javax.crypto.Cipher: void checkOpmode(int)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.Key)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.Key,java.security.SecureRandom)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters,java.security.SecureRandom)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.cert.Certificate)> _SINK_
<javax.crypto.Cipher: void init(int,java.security.cert.Certificate,java.security.SecureRandom)> _SINK_
<javax.crypto.Cipher: byte[] update(byte[])> _SINK_
<javax.crypto.Cipher: byte[] update(byte[])> _SOURCE_
<javax.crypto.Cipher: byte[] update(byte[],int,int)> _SINK_
<javax.crypto.Cipher: byte[] update(byte[],int,int)> _SOURCE_
<javax.crypto.Cipher: int update(byte[],int,int,byte[])> _SINK_
<javax.crypto.Cipher: int update(byte[],int,int,byte[])> _SOURCE_
<javax.crypto.Cipher: int update(byte[],int,int,byte[],int)> _SINK_
<javax.crypto.Cipher: int update(byte[],int,int,byte[],int)> _SOURCE_
<javax.crypto.Cipher: int update(java.nio.ByteBuffer,java.nio.ByteBuffer)> _SINK_
<javax.crypto.Cipher: int update(java.nio.ByteBuffer,java.nio.ByteBuffer)> _SOURCE_
<javax.crypto.Cipher: byte[] doFinal()> _SOURCE_
<javax.crypto.Cipher: int doFinal(byte[],int)> _SINK_
<javax.crypto.Cipher: int doFinal(byte[],int)> _SOURCE_
<javax.crypto.Cipher: byte[] doFinal(byte[])> _SINK_
<javax.crypto.Cipher: byte[] doFinal(byte[])> _SOURCE_
<javax.crypto.Cipher: byte[] doFinal(byte[],int,int)> _SINK_
<javax.crypto.Cipher: byte[] doFinal(byte[],int,int)> _SOURCE_
<javax.crypto.Cipher: int doFinal(byte[],int,int,byte[])> _SINK_
<javax.crypto.Cipher: int doFinal(byte[],int,int,byte[])> _SOURCE_
<javax.crypto.Cipher: int doFinal(byte[],int,int,byte[],int)> _SINK_
